Name,Email,Phone Number,Street,State,Zip Code,Client Type,Preferred Home Type,Preferred Number of Bedrooms,Preferred Number of Bathrooms,Preferred Square Footage,Preferred School Rating,Assigned Employee
"Jones, Stephanie",stephanie.jones@example.com,369-528-5158x82679,2505 Gardner Wall,NJ,8315,seller,,,,,,"Walsh, Timothy"
"Martinez, Kimberly",kimberly.martinez@example.com,226.292.5296x0876,78873 Natalie Isle,NY,12040,seller,,,,,,"Campos, Michael"
"Green, Nicholas",nicholas.green@example.com,001-988-844-8237x210,9245 Chelsey Ports,CT,6045,owner,,,,,,"Simpson, Christina"
"Stanley, Ashley",ashley.stanley@example.com,395.727.5101x948,303 Burton Hollow,NY,14700,renter,single house,4,1,534,7,"Erickson, Dakota"
"Hampton, Paul",paul.hampton@example.com,668-609-6932x2336,716 William Circles Suite 443,NY,10663,renter,single house,4,3,2870,8,"Lee, Melissa"
"Bennett, Bryan",bryan.bennett@example.com,4542902086,446 Cody Junctions Suite 990,CT,6105,seller,,,,,,"Miller, Danielle"
"Aguirre, Destiny",destiny.aguirre@example.com,+1-610-790-2084x9648,96738 Williams Dam Apt. 144,CT,6068,seller,,,,,,"Leon, Patrick"
"Nolan, Rose",rose.nolan@example.com,001-897-444-3318x581,99947 Charles Walk,NY,13649,owner,,,,,,"Garcia, Craig"
"Young, Jacob",jacob.young@example.com,672.692.7946x2788,47787 Dustin Village,NY,13283,seller,,,,,,"Obrien, Stephanie"
"Howard, Kyle",kyle.howard@example.com,988.219.0883,9756 Alison Meadows,NJ,7353,seller,,,,,,"Hughes, Jennifer"
"Mcmahon, Thomas",thomas.mcmahon@example.com,001-423-837-5853x23207,4951 Clayton Flat,NY,11863,owner,,,,,,"Garcia, Christopher"
"Booker, Jamie",jamie.booker@example.com,(620)625-2565,9779 Betty Viaduct,NY,10632,buyer,townhouse,3,2,1395,3,"Carlson, Megan"
"Moore, Jesse",jesse.moore@example.com,001-818-250-0069x06788,0568 Small Mews Apt. 979,NJ,8405,renter,single house,1,2,2874,5,"Koch, Luis"
"Black, Paul",paul.black@example.com,001-878-988-8064x1002,72133 Quinn Ports Apt. 919,NY,10960,owner,,,,,,"Lee, Melissa"
"Jimenez, Michelle",michelle.jimenez@example.com,(899)870-0120x72179,085 Villanueva Turnpike Suite 154,NY,11350,owner,,,,,,"Perry, Cynthia"
"Robertson, Adam",adam.robertson@example.com,429.285.7582x80076,17155 Sarah Way,NY,10215,buyer,apartment,5,3,3247,7,"Brennan, Lindsay"
"Walsh, Michael",michael.walsh@example.com,725.298.7604,44941 Smith Orchard Apt. 450,NJ,8121,seller,,,,,,"Wilcox, Frank"
"Merritt, Danielle",danielle.merritt@example.com,(830)285-1381,0176 Petersen Manors Suite 636,NY,13728,buyer,apartment,3,1,2055,1,"Mata, Miranda"
"Powell, Patricia",patricia.powell@example.com,(990)961-7657,68278 Samantha Throughway,CT,6309,renter,townhouse,5,1,1183,10,"Mcguire, Jeanette"
"Nixon, Jonathan",jonathan.nixon@example.com,817.690.4336,21640 Kimberly Ville Apt. 603,NJ,7830,renter,condo,4,1,1877,2,"Paul, Ashley"
"Miller, Dominique",dominique.miller@example.com,950-911-7372x52247,41705 Hernandez Plaza,NY,13834,owner,,,,,,"Garcia, Craig"
"Smith, Rhonda",rhonda.smith@example.com,(644)977-8690x9562,507 Callahan Grove Apt. 057,CT,6183,owner,,,,,,"Grant, Douglas"
"Adams, Abigail",abigail.adams@example.com,+1-990-353-0466x918,417 Colleen Mountains,NY,10743,renter,single house,4,3,591,10,"Bradley, Michael"
"Wells, Jonathan",jonathan.wells@example.com,6334114776,56320 Carr Creek,NY,13004,buyer,single house,5,2,1628,4,"Wilcox, Frank"
"Johnston, Jeffrey",jeffrey.johnston@example.com,+1-287-962-8065x1876,84715 Fernandez Valleys,NY,13708,buyer,single house,1,1,3390,10,"Ross, Patricia"
"Odom, David",david.odom@example.com,867.944.0416,58076 Jessica Village Apt. 045,NJ,7768,owner,,,,,,"Lee, Melissa"
"Lam, Kenneth",kenneth.lam@example.com,(677)309-2763x89932,337 Chapman Islands,NJ,7575,renter,single house,2,1,1912,4,"Klein, Brian"
"Smith, David",david.smith@example.com,(333)468-3792x85391,535 Garcia Overpass Suite 863,NJ,8969,owner,,,,,,"Bradley, Michael"
"Carroll, Thomas",thomas.carroll@example.com,890.383.5332x0834,398 Caitlin Passage Suite 744,CT,6230,buyer,single house,1,2,3050,9,"Roberts, Sandra"
"Morales, Mary",mary.morales@example.com,381-593-8124,1722 Johnson Causeway,NY,14115,renter,condo,4,3,2852,5,"Smith, Joshua"
"Horn, Robin",robin.horn@example.com,001-712-813-3097x18844,342 Mendoza Lake,NY,13180,owner,,,,,,"Norris, Joshua"
"Wells, Alan",alan.wells@example.com,680-462-7682x8863,331 Deborah Burg Suite 715,NY,10617,owner,,,,,,"Mccann, Wendy"
"Pearson, Joel",joel.pearson@example.com,-2916,71994 Crystal Land,NY,12869,buyer,townhouse,1,2,1746,1,"Paul, Ashley"
"Collins, Zachary",zachary.collins@example.com,(429)915-4020,18393 Fisher Crossing,NJ,7034,buyer,condo,3,2,761,4,"Gibbs, Anthony"
"Thomas, Chad",chad.thomas@example.com,743.522.3356x9372,050 Martin Vista,NY,10081,seller,,,,,,"Hines, Monica"
"Stokes, Savannah",savannah.stokes@example.com,+1-213-674-7254x736,443 Brandon Summit Apt. 491,NY,11312,buyer,condo,4,2,1533,0,"Gibbs, Anthony"
"Bright, Tamara",tamara.bright@example.com,(400)614-6268x746,89344 King Parkways Apt. 128,CT,6259,owner,,,,,,"Bell, Christopher"
"Aguirre, Kyle",kyle.aguirre@example.com,599.775.9287,174 Pierce Summit Suite 955,NY,14808,buyer,single house,2,1,2083,10,"Hines, Monica"
"Wallace, Michael",michael.wallace@example.com,913.643.0188,7129 Heather Station Suite 116,NJ,8194,renter,townhouse,1,2,2459,6,"Ross, Patricia"
"Fowler, Andrew",andrew.fowler@example.com,(796)387-1192,603 Johnson Harbors Apt. 434,NJ,7060,buyer,condo,5,1,3379,4,"Shaw, Thomas"
"Carey, Jennifer",jennifer.carey@example.com,001-233-591-4595x129,187 Jacqueline Station,NJ,8558,owner,,,,,,"Vaughan, Robert"
"Goodman, Kaitlin",kaitlin.goodman@example.com,+1-616-668-8103x53975,597 Moody Junctions Apt. 924,NJ,7367,renter,single house,5,2,2421,10,"Adams, Ashley"
"Ramirez, Johnny",johnny.ramirez@example.com,(749)378-8972x497,4536 Virginia Lodge,CT,6006,owner,,,,,,"Davis, Ashley"
"Campbell, Kevin",kevin.campbell@example.com,001-767-509-8601,306 Karen Meadow Suite 171,NJ,7282,buyer,townhouse,5,3,3261,5,"Moore, Robert"
"Jenkins, Marissa",marissa.jenkins@example.com,001-654-897-9759x3950,2405 Brady Creek Apt. 349,CT,6276,owner,,,,,,"Parker, Stephanie"
"Alvarez, Tyler",tyler.alvarez@example.com,3994478183,664 Price Turnpike Suite 931,NJ,8445,renter,condo,1,3,1486,4,"Simpson, Christina"
"Rosario, Aaron",aaron.rosario@example.com,(916)591-0063x02286,639 Andrew Street,NY,11094,owner,,,,,,"Walker, Aaron"
"Clark, Debbie",debbie.clark@example.com,704.509.7968,586 Holland Station Suite 677,NY,12309,buyer,townhouse,3,1,1977,5,"Wise, David"
"Wright, Tony",tony.wright@example.com,-8324,14086 Kelli Vista Apt. 753,NJ,7457,renter,apartment,2,3,3400,2,"Roberts, Sandra"
"Hall, Andrew",andrew.hall@example.com,001-487-738-6393x200,1560 Blake Ranch Apt. 703,NJ,7510,renter,apartment,4,2,1301,6,"Wood, Maria"
"Vargas, Timothy",timothy.vargas@example.com,732-991-7270x9718,3576 Debbie Cliff,NY,12336,owner,,,,,,"Munoz, Paul"
"Porter, Ryan",ryan.porter@example.com,001-707-965-2274x58012,52870 Taylor Common Suite 193,NJ,7753,seller,,,,,,"Murillo, Lydia"
"Hart, Emily",emily.hart@example.com,546.517.6682x36331,08164 Waters Views Suite 349,NJ,7097,renter,single house,4,1,1443,7,"Collins, Briana"
"Winters, Grace",grace.winters@example.com,333-963-6481,413 Tina Grove,NJ,8067,seller,,,,,,"Barnes, Michael"
"Miller, Krystal",krystal.miller@example.com,485-650-9497x211,467 Tyler Islands Apt. 273,NY,13606,seller,,,,,,"Romero, Diane"
"Miller, Gary",gary.miller@example.com,001-929-768-9384x52639,4999 Andre Union,CT,6059,buyer,single house,2,1,1929,1,"Brown, John"
"Hughes, Javier",javier.hughes@example.com,583-259-5232,248 Campbell Highway,CT,6322,seller,,,,,,"Holland, Kristy"
"Skinner, Lisa",lisa.skinner@example.com,(730)956-6402,022 Paul Trail,NJ,7002,owner,,,,,,"Evans, Christina"
"Thompson, Tammy",tammy.thompson@example.com,001-697-230-7406,080 Smith Shores,NY,10144,owner,,,,,,"Gibbs, Anthony"
"Graham, Rodney",rodney.graham@example.com,001-854-485-0003x302,96712 Martinez Prairie Suite 833,CT,6199,owner,,,,,,"Morse, Randy"
"Santana, Matthew",matthew.santana@example.com,+1-893-210-4062x71013,502 Rodriguez Pass,CT,6271,owner,,,,,,"Evans, Christina"
"Benson, Michelle",michelle.benson@example.com,(373)925-0261,37322 Gregory Isle,NJ,7704,owner,,,,,,"Garcia, Christopher"
"Cole, Audrey",audrey.cole@example.com,+1-492-330-3497x739,533 Victoria Circle,CT,6084,owner,,,,,,"Miller, Danielle"
"Collier, Stacey",stacey.collier@example.com,(654)891-0009,9977 Conway Parkways Apt. 089,CT,6074,buyer,apartment,3,2,1416,5,"Garcia, Christopher"
"Wilkins, Holly",holly.wilkins@example.com,787.817.5483,8194 Taylor Trafficway Apt. 930,NY,12386,owner,,,,,,"Gray, Christina"
"Alvarez, Michelle",michelle.alvarez@example.com,582-970-4994x197,17817 Mcbride Mission Suite 718,NY,11752,owner,,,,,,"Pham, Karen"
"Tucker, Michael",michael.tucker@example.com,330-464-9104x4649,44543 Mann Via Apt. 973,NY,14712,buyer,condo,5,1,703,1,"Fry, Joseph"
"Flores, Ryan",ryan.flores@example.com,(508)251-0389,4356 Richard Underpass Apt. 435,NJ,8293,renter,single house,1,1,671,3,"Gibbs, Anthony"
"Foster, Michael",michael.foster@example.com,(273)390-1432x57528,633 Santiago Cliff,NJ,7187,seller,,,,,,"White, Gregory"
"King, Dana",dana.king@example.com,5356790275,98467 Jessica Mission,CT,6018,buyer,single house,4,2,781,10,"Turner, Cynthia"
"Simmons, Annette",annette.simmons@example.com,+1-791-363-8813x83922,239 Sean Mount Suite 742,NJ,7537,seller,,,,,,"Roman, Gabriela"
"Brown, Jeffrey",jeffrey.brown@example.com,575-749-4362x8887,048 Dalton Course Suite 461,NJ,8797,buyer,apartment,4,2,3135,5,"Burton, Tina"
"Alexander, Laura",laura.alexander@example.com,+1-933-235-2087x879,0675 William Plaza Suite 100,CT,6046,buyer,condo,3,2,2365,6,"Kane, Diana"
"Bryant, Amanda",amanda.bryant@example.com,(606)447-3019x46187,5378 Richard Light Suite 303,NJ,8287,owner,,,,,,"Howard, Katherine"
"Wright, Charles",charles.wright@example.com,(625)969-2893x203,861 Sara Center,CT,6044,seller,,,,,,"Cruz, Pamela"
"Sloan, Lindsey",lindsey.sloan@example.com,001-533-990-0473x4943,38878 Judith Plaza Apt. 521,NJ,7221,owner,,,,,,"Paul, Ashley"
"King, Victoria",victoria.king@example.com,(885)649-1070x2831,69840 Tracy View,NJ,8249,buyer,single house,1,1,1305,3,"Clements, Derek"
"Mitchell, Gregory",gregory.mitchell@example.com,(327)829-6147,225 English Groves Suite 819,NJ,7697,renter,single house,5,1,3102,9,"Garcia, Hannah"
"Wilson, Jacqueline",jacqueline.wilson@example.com,218-543-6819,5437 Melissa Village,NY,11637,seller,,,,,,"Olson, Andrea"
"Lee, Nicole",nicole.lee@example.com,+1-367-812-1523x84058,13994 Dale Corners Suite 260,NY,14151,renter,single house,3,3,2905,7,"Galvan, Alyssa"
"Cole, Stephen",stephen.cole@example.com,887-936-9556,86364 Howard Glen,NJ,7167,seller,,,,,,"Wood, Katelyn"
"Ingram, William",william.ingram@example.com,250-275-7370x186,6284 Crawford Tunnel Apt. 132,NY,12014,buyer,condo,4,3,1735,6,"Barrett, Joy"
"Guerrero, Lori",lori.guerrero@example.com,537.238.3504,4854 Lorraine Fords,NY,10994,owner,,,,,,"Greene, Courtney"
"Bruce, Chris",chris.bruce@example.com,(459)935-7234x274,1884 Nicole Green,CT,6227,owner,,,,,,"Barry, Megan"
"Torres, Judy",judy.torres@example.com,(204)450-7263x97398,966 Ashlee Avenue,NJ,7781,seller,,,,,,"Mata, Miranda"
"Williams, Kimberly",kimberly.williams@example.com,4329549215,696 Jonathan Prairie Apt. 076,NJ,8507,renter,condo,1,2,3179,8,"Leon, Patrick"
"Jordan, Gina",gina.jordan@example.com,6609703105,1551 Michael Ports Suite 159,NJ,8746,renter,condo,3,1,837,6,"Pham, Karen"
"Armstrong, Makayla",makayla.armstrong@example.com,667-369-0787,477 Bradley Green,NY,11226,buyer,townhouse,2,3,1559,6,"Coffey, Patrick"
"Sanchez, Roger",roger.sanchez@example.com,772.346.2058,38912 Robert Stream Apt. 874,NJ,7141,owner,,,,,,"Ross, Molly"
"Harris, Mason",mason.harris@example.com,741.371.5263x035,235 Michelle Forges,CT,6285,seller,,,,,,"Bright, Robert"
"Patel, Melanie",melanie.patel@example.com,001-502-648-0886x24101,813 Thomas Branch Suite 249,NY,11788,owner,,,,,,"Clements, Derek"
"Adkins, Edward",edward.adkins@example.com,001-369-765-6337x818,158 Webb Brooks Suite 412,CT,6291,renter,condo,5,2,1298,3,"Cox, Kathleen"
"Zhang, Colin",colin.zhang@example.com,+1-294-277-2450x88252,212 Hale Fords Suite 131,CT,6127,buyer,townhouse,4,3,2356,1,"Holland, Kristy"
"Adams, Rita",rita.adams@example.com,001-462-577-7344x31592,3512 Roth Throughway Apt. 637,NY,12012,owner,,,,,,"Barnes, Michael"
"Jacobs, Denise",denise.jacobs@example.com,-1283,22618 Alexandria Falls Apt. 351,NY,11886,owner,,,,,,"Holland, Kristy"
"Allen, Shirley",shirley.allen@example.com,7266404842,02709 Harris Field Apt. 071,NY,10390,renter,apartment,5,2,1028,3,"Marshall, Nicole"
"Ramsey, Linda",linda.ramsey@example.com,+1-745-809-7229x09473,59153 Brittany Trafficway Suite 209,CT,6304,buyer,single house,5,1,2120,0,"Davis, Craig"
"Reed, Sandra",sandra.reed@example.com,-9497,191 Soto Walks Suite 064,NJ,8532,buyer,condo,4,3,2874,5,"Gonzales, Catherine"
"West, Sonia",sonia.west@example.com,644.964.3841,4304 Hansen Corner Suite 265,NJ,7521,owner,,,,,,"Cordova, Virginia"
"Daniels, Victor",victor.daniels@example.com,+1-389-559-5320x092,1918 Boyd Summit Apt. 629,CT,6049,buyer,apartment,4,1,3247,4,"Moore, Robert"
"Wise, Kristina",kristina.wise@example.com,658-974-3008,49643 Laura Radial Apt. 011,NJ,7210,renter,townhouse,5,2,1557,4,"Parker, Stephanie"
"Ray, David",david.ray@example.com,545.629.6405x4581,507 Brown Mount Suite 252,NJ,8129,seller,,,,,,"Olsen, Ann"
"Jackson, Sandra",sandra.jackson@example.com,899.535.1167x21540,295 Katie Road,CT,6228,renter,apartment,1,2,3323,0,"Evans, Christina"
"Marsh, Cathy",cathy.marsh@example.com,(983)350-5551x6999,9912 Campbell Burg Apt. 759,NY,14033,buyer,apartment,5,2,1873,7,"Watson, Samantha"
"Mack, Jennifer",jennifer.mack@example.com,676-954-5576,29985 Troy Motorway Apt. 786,CT,6004,seller,,,,,,"Coleman, Katherine"
"Mccoy, Jack",jack.mccoy@example.com,935-746-8008x923,9831 Christopher Avenue,NY,11022,buyer,condo,3,2,2006,6,"Parker, Stephanie"
"Frazier, Alexandra",alexandra.frazier@example.com,809-900-6517x3792,655 Woods Divide,NY,14197,buyer,apartment,2,1,2640,9,"Obrien, Stephanie"
"Harris, Tony",tony.harris@example.com,001-292-788-7832,056 Turner Parkways,NJ,8209,seller,,,,,,"Willis, Stephanie"
"Brown, Kathleen",kathleen.brown@example.com,752-831-6942x394,533 Mark Greens Suite 657,CT,6080,owner,,,,,,"Klein, Brian"
"Allen, Russell",russell.allen@example.com,001-531-292-5230x410,6518 Theresa Drive Apt. 093,NY,11812,seller,,,,,,"Paul, Ashley"
"Bradshaw, Susan",susan.bradshaw@example.com,001-638-232-9868x79965,5546 Anderson Drives Suite 366,CT,6152,seller,,,,,,"Meyer, Valerie"
"Miranda, Harold",harold.miranda@example.com,579-735-7211x4431,5116 Meyers Forest Suite 262,NY,13753,seller,,,,,,"Simpson, Christina"
"Harris, Taylor",taylor.harris@example.com,750-260-1913x87709,818 Blake Trace,NJ,7162,buyer,condo,4,2,977,1,"Evans, Teresa"
"Anderson, Morgan",morgan.anderson@example.com,274.967.8842,11099 Matthew Motorway,CT,6125,owner,,,,,,"Shaw, Thomas"
"George, Roy",roy.george@example.com,+1-636-623-7603x290,4479 Peters Squares,NJ,7535,buyer,condo,3,1,1356,6,"Turner, Cynthia"
"Hansen, Jennifer",jennifer.hansen@example.com,886.275.2476x23276,9074 Hull Oval Apt. 703,CT,6160,seller,,,,,,"Collier, James"
"Duncan, Troy",troy.duncan@example.com,473-996-5981x43895,703 Brown Highway Suite 735,NY,10210,seller,,,,,,"Campos, Michael"
"Patterson, Daniel",daniel.patterson@example.com,+1-519-287-9717x2965,83372 Hurley Roads Apt. 994,NY,10382,renter,single house,1,1,2652,3,"Hill, Allen"
"Kline, Ricky",ricky.kline@example.com,001-665-251-7612x2449,20015 Mayo Mission Suite 066,NY,14264,buyer,townhouse,1,1,2155,0,"Davis, Ashley"
"Turner, Danny",danny.turner@example.com,001-963-848-6409x179,5900 Boyd Street,NY,13924,renter,single house,1,2,1995,1,"Coffey, Patrick"
"George, Paula",paula.george@example.com,+1-832-335-5953x266,86229 Lori Heights Apt. 886,NJ,8017,buyer,single house,3,2,1050,10,"Saunders, Kimberly"
"Flowers, Joshua",joshua.flowers@example.com,+1-852-468-1817x46879,505 Erin Hills Apt. 589,NJ,8084,seller,,,,,,"Cameron, Katie"
"Vargas, John",john.vargas@example.com,517.718.9491x755,602 Bryant Knoll,NJ,8893,seller,,,,,,"Hill, Allen"
"Smith, Eric",eric.smith@example.com,001-619-574-6240,223 White Pines,NJ,8761,owner,,,,,,"Watson, Anthony"
"Berry, Kyle",kyle.berry@example.com,+1-379-833-8605x27142,505 Velez Branch,NJ,7435,renter,condo,4,2,2302,1,"Grant, Douglas"
"Ortega, Benjamin",benjamin.ortega@example.com,3193956116,6078 Kylie Drives Suite 440,CT,6302,seller,,,,,,"Olson, Andrea"
"Castillo, Rachel",rachel.castillo@example.com,705-774-5389x9679,0448 Eric Falls,NJ,7774,buyer,condo,2,1,1949,10,"Turner, Cynthia"
"Shaw, Bradley",bradley.shaw@example.com,677.646.0589x3728,545 Philip Common,CT,6266,owner,,,,,,"Obrien, Stephanie"
"Webb, Erica",erica.webb@example.com,(219)327-1875,52369 Stevens Field,CT,6258,renter,condo,4,3,713,4,"Thomas, Kenneth"
"Lee, Theresa",theresa.lee@example.com,(546)702-6923x98664,100 Jonathan Causeway,NY,12589,renter,townhouse,1,3,2651,0,"Campbell, Christopher"
"Mccullough, Nathaniel",nathaniel.mccullough@example.com,847-302-0953x1744,181 Torres Meadows,CT,6139,seller,,,,,,"Erickson, Dakota"
"Williams, Shelia",shelia.williams@example.com,(731)893-6186x087,484 Danielle Village,NY,13659,renter,single house,3,3,2349,9,"Mata, Miranda"
"Doyle, Matthew",matthew.doyle@example.com,+1-525-849-3715x6388,899 Megan Haven Suite 405,NY,11791,seller,,,,,,"Garcia, Craig"
"Jenkins, Robert",robert.jenkins@example.com,(411)635-1344x57507,945 Brian Tunnel,NY,13303,buyer,apartment,4,1,830,7,"Terry, Zachary"
"Williams, Ashley",ashley.williams@example.com,782.913.7495x90989,9965 Griffith Center,NY,12753,seller,,,,,,"Andrews, Faith"
"Orozco, Tyler",tyler.orozco@example.com,(567)509-7989x107,161 Sanchez Groves,CT,6125,renter,townhouse,1,3,845,4,"Harris, Jennifer"
"Griffin, Jason",jason.griffin@example.com,-8141,8447 Michael Lake,NJ,8980,renter,single house,1,2,1302,3,"Mcguire, Jeanette"
"Andrews, Kathy",kathy.andrews@example.com,949.295.0285x89668,85696 Cherry Causeway Apt. 424,NJ,7174,seller,,,,,,"Clements, Derek"
"Sanchez, Madison",madison.sanchez@example.com,001-760-698-7499x03794,6088 Ramos Forges Suite 531,CT,6058,seller,,,,,,"Coffey, Patrick"
"Watson, Anita",anita.watson@example.com,869.692.3380x484,48217 Petty Estate Suite 169,NJ,8803,seller,,,,,,"Munoz, Paul"
"Hebert, Deborah",deborah.hebert@example.com,(313)687-1604,16486 Carson Gardens,NY,12877,seller,,,,,,"Lewis, Kara"
"Leon, Miguel",miguel.leon@example.com,001-595-828-2142x30026,49051 Fitzgerald Rue Apt. 741,CT,6175,renter,condo,4,2,587,3,"Kane, Diana"
"Phillips, Carl",carl.phillips@example.com,(825)901-0310x16283,4572 Kelley Avenue Apt. 061,NY,11253,owner,,,,,,"Morse, Randy"
"David, Miranda",miranda.david@example.com,(419)425-1825,8490 Michael Via,NY,10284,renter,single house,5,1,2825,4,"Evans, Christina"
"Gates, Rachel",rachel.gates@example.com,+1-202-665-0345x517,810 Hatfield Ridge,NY,12238,renter,townhouse,1,1,2016,6,"Mata, Miranda"
"Davis, Mary",mary.davis@example.com,001-658-601-6139x157,87882 Alejandra Trail Suite 287,NJ,8364,seller,,,,,,"Davis, Craig"
"French, Michael",michael.french@example.com,902.498.1648x312,014 Martinez Pine Suite 983,NJ,7273,renter,single house,4,2,1025,2,"Cameron, Katie"
"Davidson, Steven",steven.davidson@example.com,(868)493-1715x094,16428 John Circles,NJ,7476,buyer,single house,3,3,3390,1,"Coffey, Patrick"
"Roach, Lori",lori.roach@example.com,(671)284-8479x2749,82634 Melissa Estate,CT,6190,renter,single house,3,3,2075,1,"Frye, Angela"
"Anderson, Jacob",jacob.anderson@example.com,855.413.8125,90065 Roberts Fall,CT,6307,owner,,,,,,"Clements, Derek"
"Tapia, Jeffrey",jeffrey.tapia@example.com,442.352.4763,318 Lauren Freeway,CT,6287,owner,,,,,,"Davis, Craig"
"Davidson, Brett",brett.davidson@example.com,497-354-8173x145,990 Kevin Dam Apt. 045,NJ,8007,seller,,,,,,"Garcia, Craig"
"Johnson, Sierra",sierra.johnson@example.com,001-372-545-5747,98214 Diana Prairie,NY,11974,owner,,,,,,"Frye, Angela"
"Warren, Kayla",kayla.warren@example.com,-2392,4277 Carroll Lakes Apt. 256,NJ,7294,buyer,single house,2,3,1822,7,"Hodges, Patrick"
"Patterson, Lauren",lauren.patterson@example.com,424-819-0206,1654 Betty Shoals,CT,6237,seller,,,,,,"Cruz, Pamela"
"Kramer, Dakota",dakota.kramer@example.com,+1-626-207-5982x59437,061 Young Corners Apt. 962,NY,14392,renter,single house,1,1,1606,4,"Mcgrath, Alison"
"Christian, Lauren",lauren.christian@example.com,-2985,1715 Foster Mountains,NY,10282,renter,condo,2,3,1638,7,"Roberts, Sandra"
"Williams, Kevin",kevin.williams@example.com,(276)438-7599,2104 Klein Drives Suite 681,CT,6158,buyer,condo,5,2,2095,3,"Wheeler, Michelle"
"Morgan, Brittany",brittany.morgan@example.com,239-231-3446x550,837 Austin Park,NY,13164,buyer,apartment,1,1,2420,2,"Vaughan, Robert"
"Miller, Randy",randy.miller@example.com,+1-867-535-5754x1016,2557 Hernandez Fords Apt. 371,NJ,7685,buyer,townhouse,2,3,2905,1,"Adams, Ashley"
"Adams, Emily",emily.adams@example.com,407-829-2263,7682 Austin Run,NY,11830,buyer,apartment,2,2,1232,5,"Tanner, Sean"
"Yates, Peter",peter.yates@example.com,(360)590-8595x4375,9030 Dana Via Apt. 933,NJ,7732,seller,,,,,,"Fletcher, Margaret"
"Scott, Charles",charles.scott@example.com,(463)284-3470,68583 Kathleen Port,NY,14370,renter,condo,4,2,1269,7,"Barrett, Joy"
"Edwards, Caroline",caroline.edwards@example.com,3844339516,58161 John Harbors,CT,6037,buyer,apartment,4,3,3074,5,"Mata, Miranda"
"Nguyen, Theodore",theodore.nguyen@example.com,399-279-8408x40020,00844 Atkinson Key,NJ,8223,owner,,,,,,"Murillo, Lydia"
"Medina, Bonnie",bonnie.medina@example.com,903-378-0940x425,907 Brown Fords Suite 375,NY,12780,renter,condo,3,3,1320,1,"Watson, Anthony"
"Kane, Oscar",oscar.kane@example.com,001-832-354-2233x3450,9989 Kemp Village,NY,13928,buyer,condo,1,2,3439,1,"Parker, Stephanie"
"Henry, Matthew",matthew.henry@example.com,(561)306-8494x41029,5744 Nicole Rapid,NY,13686,seller,,,,,,"Roberts, Sandra"
"Sandoval, Victoria",victoria.sandoval@example.com,692.809.3599x235,05134 Natalie Lodge Suite 692,NY,13387,owner,,,,,,"Barnes, Michael"
"Flores, Alexis",alexis.flores@example.com,555.802.3037x700,734 Annette Haven,CT,6137,renter,townhouse,4,3,2954,10,"Campbell, Christopher"
"Johnson, Keith",keith.johnson@example.com,(373)830-9724x2026,66259 Harrison Isle Suite 204,NJ,8697,owner,,,,,,"Koch, Luis"
"Sanchez, Danny",danny.sanchez@example.com,528-619-1417x417,953 Brewer Common,NY,14008,owner,,,,,,"Greene, Courtney"
"Jacobs, Brandon",brandon.jacobs@example.com,232-951-5449,1431 Sharp Spurs,NJ,8899,buyer,single house,2,1,1275,10,"Bradley, Michael"
"Kent, Robert",robert.kent@example.com,566-466-0977,2534 Faulkner Knoll Apt. 544,NY,11593,renter,single house,1,2,1662,3,"Johnson, Angelica"
"Jackson, Brian",brian.jackson@example.com,(979)716-1959,8508 Dixon Brooks,CT,6056,seller,,,,,,"Adams, Ashley"
"Patterson, Christopher",christopher.patterson@example.com,313-656-1928x57813,12729 Harris Mall,NJ,8078,seller,,,,,,"Miller, Danielle"
"Wade, Stephanie",stephanie.wade@example.com,+1-749-590-9310x76328,5308 Brown Plaza,CT,6088,owner,,,,,,"Mata, Miranda"
"Moore, David",david.moore@example.com,001-865-225-5723x768,777 Martinez Forest,NJ,8417,buyer,condo,1,3,3271,10,"Perry, Cynthia"
"Gray, Kimberly",kimberly.gray@example.com,327.909.5604,99945 Michelle Divide,NY,11716,renter,condo,5,3,2268,0,"Anderson, Joseph"
"Deleon, Paul",paul.deleon@example.com,669-775-4542,893 Julie Vista,CT,6004,buyer,townhouse,3,3,853,8,"Anderson, Joseph"
"Jensen, Michelle",michelle.jensen@example.com,284.757.3536,520 Simpson Gardens Suite 468,NY,12292,buyer,single house,2,2,1031,2,"Jones, Sarah"
"Ortiz, John",john.ortiz@example.com,437.696.7844x42851,551 Clay Fork Suite 269,NJ,7094,renter,townhouse,4,2,1917,4,"Olsen, Ann"
"Spencer, Jessica",jessica.spencer@example.com,(488)804-9828x4666,5306 Byrd Plaza,CT,6049,renter,single house,3,3,2553,10,"Greene, Courtney"
"Tucker, Andrew",andrew.tucker@example.com,001-224-731-0374x1584,8544 Gonzalez Street Suite 056,CT,6063,owner,,,,,,"Sims, Roberto"
"Mcdaniel, Jeffrey",jeffrey.mcdaniel@example.com,(610)298-0355x1671,6697 Hughes Mountains,NJ,8894,renter,single house,5,1,1257,4,"Dodson, Rhonda"
"Potts, Michael",michael.potts@example.com,(568)341-9501x8076,391 Brenda Creek Suite 649,NY,13576,seller,,,,,,"Watson, Samantha"
"Rose, Angela",angela.rose@example.com,001-613-916-3095x52145,99183 Salinas Drive,CT,6046,owner,,,,,,"Pham, Karen"
"Boyd, Ronald",ronald.boyd@example.com,-9497,1369 Derek Islands Suite 178,NY,13624,buyer,condo,3,3,3475,4,"Walker, Aaron"
